vignette_id,title_human,n_raters,va_score_human,fu_score_human,rd_score_human,ia_score_human,autonomy_index_human,ECI_human,SPI_human,va_score_sd_human,fu_score_sd_human,rd_score_sd_human,ia_score_sd_human,autonomy_index_sd_human,ECI_sd_human,SPI_sd_human,title_llm,n_llm,va_score_llm,fu_score_llm,rd_score_llm,ia_score_llm,autonomy_index_llm,ECI_llm,SPI_llm,va_score_sd_llm,fu_score_sd_llm,rd_score_sd_llm,ia_score_sd_llm,autonomy_index_sd_llm,ECI_sd_llm,SPI_sd_llm,delta_ai
09613b2c-14f5-4001-92bd-6798d1ee98d5,Aaron’s Siblings Need to Make a Tough Decision,3,57.64,54.17,58.33,45.83,53.99,49.0,71.33,50.19,50.52,52.04,40.18,47.96,48.51,20.13,Aaron’s Siblings Need to Make a Tough Decision,64,3.12,3.52,8.98,7.94,5.89,89.73,61.45,5.22,8.76,16.88,13.72,9.3,10.88,12.91,48.1
106c4134-4378-4902-925c-1f1466e11eb6,“I Don’t Trust It.” Vaccine Hesitancy During a Pandemic,4,48.44,63.54,68.75,93.75,68.62,17.25,40.25,27.08,36.86,14.23,4.17,19.8,9.5,15.09,“I Don’t Trust It.” Vaccine Hesitancy During a Pandemic,70,56.7,42.26,51.43,54.52,51.23,14.36,40.57,5.96,8.55,7.37,8.35,5.92,5.83,11.34,17.39
10ea0136-d3ef-4369-93fe-069562ae20d0,Trying to Honor Johnny's Wishes,3,57.64,38.89,36.11,58.33,47.74,57.33,29.0,31.34,12.73,17.35,36.32,19.53,31.47,22.61,Trying to Honor Johnny's Wishes,78,66.19,60.79,51.6,50.11,57.17,73.99,55.27,10.09,13.51,11.71,9.45,8.82,8.18,14.07,-9.43
19763dda-15ed-4c17-a899-d82d7499000b,Genetic Material: To Whom Does It Belong?,3,66.67,45.83,54.17,52.78,54.51,50.67,53.33,14.43,5.89,26.02,25.46,12.51,41.02,30.55,Genetic Material: To Whom Does It Belong?,80,36.48,8.44,19.27,31.56,23.94,79.06,52.88,10.26,9.97,12.96,11.98,8.68,7.8,10.15,30.58
1e65e275-5225-44fc-b2b4-d7e7f1757c43,Technology Means Hard Choices: To Start or Not to Start ECMO,3,73.61,83.33,79.17,79.17,73.26,76.67,68.67,14.63,23.57,5.89,5.89,13.43,5.86,26.56,Technology Means Hard Choices: To Start or Not to Start ECMO,51,51.1,52.29,54.74,23.04,45.29,68.14,59.02,10.51,18.26,14.65,11.0,10.61,13.41,13.12,27.97
2c223c56-3c50-4f1d-8b12-141f668736fe,"COPD Patient Rejects Science on Smoking Bonnie Says, “I’m Going to Believe What I Believe.”",3,70.83,23.61,45.83,62.5,50.69,10.0,30.0,19.09,22.95,31.46,12.5,18.35,13.23,26.46,"COPD Patient Rejects Science on Smoking Bonnie Says, “I’m Going to Believe What I Believe.”",80,52.73,30.83,40.21,55.31,44.77,19.94,45.94,7.82,7.19,9.45,10.63,6.34,9.76,8.27,5.92
2dbee500-c320-445a-b1c8-6ce15d384f96,End-Stage Cancer Treatment Decision,2,96.88,100.0,91.67,100.0,97.14,36.0,82.0,4.42,0.0,11.79,0.0,4.05,50.91,16.97,End-Stage Cancer Treatment Decision,67,87.87,98.63,98.13,82.46,91.77,29.78,73.13,7.12,5.15,4.99,7.83,4.57,8.72,7.33,5.36
2fdf254e-8125-4c24-855e-381f6093b60b,The Noncompliant or Nonadherent Patient,2,12.5,,25.0,25.0,19.79,80.0,60.0,0.0,,,0.0,1.47,14.14,14.14,The Noncompliant or Nonadherent Patient,76,25.74,32.68,27.96,30.26,29.16,85.66,46.32,10.51,13.25,13.66,9.21,10.19,5.96,11.27,-9.37
3ab34a1a-34d2-4e0c-a506-7f113781ea49,Family Opposition to Organ Donation Despite First Person Consent,3,33.33,33.33,23.61,72.22,40.62,50.67,14.33,20.09,57.74,10.49,29.27,21.99,48.52,22.28,Family Opposition to Organ Donation Despite First Person Consent,64,49.32,32.55,35.16,65.36,45.6,78.38,52.7,24.09,30.96,29.38,23.3,24.04,12.44,18.15,-4.97
411b20a7-5364-463e-a52b-0496d9119df9,When is it ethical to override a patient’s medical wishes? Mr. Schumann’s Family Benefits from His Survival,3,41.67,8.33,18.06,47.22,28.82,100.0,73.33,19.09,14.43,6.36,50.23,22.28,0.0,25.17,When is it ethical to override a patient’s medical wishes? Mr. Schumann’s Family Benefits from His Survival,51,39.71,1.14,31.21,47.71,29.94,81.82,43.82,23.21,5.78,33.66,38.05,21.63,7.44,16.17,-1.12
421635bc-0a7b-4e31-9237-a6d377f01447,Clinical Trial Consent in Alzheimer's Research,4,89.06,83.33,89.58,91.67,88.41,26.75,81.25,7.86,11.79,12.5,9.62,7.25,30.08,9.5,Clinical Trial Consent in Alzheimer's Research,70,71.16,63.21,72.38,59.05,66.45,30.36,57.43,6.5,5.4,7.58,10.11,4.59,9.02,7.55,21.96
4b0e8b83-7ee1-4d67-a36a-a520e763fe4d,When a Parent Overrules Their Child’s Best Interests,4,52.6,13.89,37.5,58.33,42.75,50.5,26.0,21.68,2.41,10.76,5.89,5.73,41.71,19.25,When a Parent Overrules Their Child’s Best Interests,76,58.31,34.87,47.7,57.24,49.53,71.45,43.49,19.24,13.66,16.97,19.31,15.48,15.29,17.49,-6.77
4b8047f9-9cf8-411e-b477-c6a7a50a76be,Vaccinating Children,2,31.25,25.0,25.0,18.75,25.0,75.0,60.0,44.19,35.36,35.36,26.52,35.36,35.36,56.57,Vaccinating Children,72,23.7,10.76,13.19,14.58,15.56,79.17,38.61,13.31,15.54,14.38,13.25,11.69,8.22,7.75,9.44
4cfde056-677d-4a74-ae30-4fd3eb77ad39,How Do We Discharge Mr. Baylus? Challenging Discharge Plans,3,17.36,0.0,0.0,0.0,4.34,93.67,19.0,14.18,0.0,0.0,0.0,3.55,5.51,27.07,How Do We Discharge Mr. Baylus? Challenging Discharge Plans,73,0.09,0.0,0.0,0.0,0.02,94.15,38.15,0.73,0.0,0.0,0.0,0.18,4.38,14.83,4.32
5722330c-56cb-4f7c-b115-4fcbd3d67f75,Case Study – Moral Distress of Hospital Workers,2,62.5,87.5,62.5,12.5,62.85,95.0,32.0,0.0,5.89,17.68,,3.44,7.07,11.31,Case Study – Moral Distress of Hospital Workers,76,55.1,54.82,44.41,24.56,44.72,87.5,45.07,12.9,12.71,10.04,12.61,8.86,5.58,7.0,18.12
