case_id,case_title,VA1,VA2,VA3,VA4,FU1,FU2,FU3,RD1,RD2,RD3,IA1,IA2,IA3,ECI,SPI
b8d6fee4-10b2-4c98-9245-368bcfe8efa5,Immigrant Caregiver Mother Fears Visit to Hospital,2,3,1,1,6,6,6,6,3,6,5,6,6,19,0
a951fc6b-38d2-4343-9092-c4089d9f05af,Alice’s Frail Mother,3,2,4,1,4,3,3,3,2,3,4,2,6,72,32
10ea0136-d3ef-4369-93fe-069562ae20d0,Trying to Honor Johnny's Wishes,4,3,1,6,2,6,6,3,6,3,5,4,3,76,54
be768d69-94fd-4b4e-a85c-2d3ebe53e2a2,Don’t Take My Foot! Surrogate Decision-Making,1,1,1,4,6,6,6,2,6,1,4,1,1,42,50
2fcaf962-9ab2-4f40-9b15-c28a94e47f05,Should a Dying Patient Receive Pain Medications or Donate Organs?,4,3,6,6,6,6,6,6,6,6,6,6,6,73,27
1e65e275-5225-44fc-b2b4-d7e7f1757c43,Technology Means Hard Choices: To Start or Not to Start ECMO,4,3,3,6,6,6,6,6,6,6,6,6,6,70,38
8a41b689-9c1f-450d-a56c-9517724f11b9,Disagreement Over Advance Directive,4,3,1,1,1,1,1,6,1,6,2,2,3,50,50
2fdf254e-8125-4c24-855e-381f6093b60b,The Noncompliant or Nonadherent Patient,1,6,6,2,6,6,6,6,6,6,2,2,2,90,50
4b0e8b83-7ee1-4d67-a36a-a520e763fe4d,When a Parent Overrules Their Child’s Best Interests,5,5,4,3,1,3,1,1,1,4,4,3,2,78,50
b8d6fee4-10b2-4c98-9245-368bcfe8efa5,Immigrant Caregiver Mother Fears Visit to Hospital,2,6,1,6,6,2,3,3,6,6,5,6,2,80,0
b8d6fee4-10b2-4c98-9245-368bcfe8efa5,Immigrant Caregiver Mother Fears Visit to Hospital,4,4,6,6,6,4,6,4,4,4,5,4,5,85,60
b8d6fee4-10b2-4c98-9245-368bcfe8efa5,Immigrant Caregiver Mother Fears Visit to Hospital,2,3,6,6,5,4,4,3,6,6,5,6,1,100,4
421635bc-0a7b-4e31-9237-a6d377f01447,Clinical Trial Consent in Alzheimer's Research,5,4,6,6,5,5,5,5,6,5,5,6,5,6,94
7cf245e6-1373-4a64-baa5-593f44596f04,God Wants Me to Suffer. Hospital Care and Religious Beliefs,5,4,4,5,6,3,6,4,4,5,5,5,3,0,96
df81d06d-6d9b-4f35-a646-50366ba8ccc3,Mrs. Bartolini’s Medical Team Weighs Allocation of Scarce Resources and Non-Beneficial Treatment,5,6,6,5,6,6,6,5,6,6,5,6,6,0,98
58172a5a-26ed-4f8e-bf29-3b0f4c20448a,Baby K,5,4,5,6,6,5,6,5,5,5,5,6,3,0,80
421635bc-0a7b-4e31-9237-a6d377f01447,Clinical Trial Consent in Alzheimer's Research,5,6,5,5,4,4,5,5,5,5,5,4,4,10,80
58172a5a-26ed-4f8e-bf29-3b0f4c20448a,Baby K,5,5,5,5,5,5,5,5,5,5,5,5,4,15,10
7cf245e6-1373-4a64-baa5-593f44596f04,God Wants Me to Suffer. Hospital Care and Religious Beliefs,5,5,5,6,5,6,6,5,6,5,5,6,3,15,95
7cf245e6-1373-4a64-baa5-593f44596f04,God Wants Me to Suffer. Hospital Care and Religious Beliefs,5,5,5,6,6,6,6,5,6,5,5,6,3,15,95
df81d06d-6d9b-4f35-a646-50366ba8ccc3,Mrs. Bartolini’s Medical Team Weighs Allocation of Scarce Resources and Non-Beneficial Treatment,5,5,5,5,6,5,5,5,5,5,5,6,4,0,90
58172a5a-26ed-4f8e-bf29-3b0f4c20448a,Baby K,3,3,3,3,2,4,4,3,5,5,3,5,4,46,56
df81d06d-6d9b-4f35-a646-50366ba8ccc3,Mrs. Bartolini’s Medical Team Weighs Allocation of Scarce Resources and Non-Beneficial Treatment,2,6,2,6,4,6,6,6,6,6,6,6,6,40,50
58172a5a-26ed-4f8e-bf29-3b0f4c20448a,Baby K,3,5,3,1,6,6,1,4,6,6,5,6,3,50,50
421635bc-0a7b-4e31-9237-a6d377f01447,Clinical Trial Consent in Alzheimer's Research,5,4,5,4,4,4,4,4,6,4,5,6,5,20,80
7cf245e6-1373-4a64-baa5-593f44596f04,God Wants Me to Suffer. Hospital Care and Religious Beliefs,3,3,3,4,6,6,6,3,6,6,5,6,1,40,30
2dbee500-c320-445a-b1c8-6ce15d384f96,End-Stage Cancer Treatment Decision,5,5,5,5,5,5,5,5,5,5,5,6,5,0,94
f3d97825-2adf-479d-b44c-55c71e654010,Good Death or Assisted Suicide?,5,5,5,5,5,5,5,5,5,5,5,5,5,0,100
411b20a7-5364-463e-a52b-0496d9119df9,When is it ethical to override a patient’s medical wishes? Mr. Schumann’s Family Benefits from His Survival,4,4,1,1,1,1,1,3,1,1,4,1,3,100,100
f0539682-d579-4b62-b5b8-428d060c8fae,The Law or Ethics: Which Should Take Priority?,1,1,1,1,1,1,1,1,1,1,1,1,1,100,0
b98f3c40-0aa6-4cd0-88c5-a0022fa9f26e,What Should We Do? DNR for an Adult with Down Syndrome,1,1,1,1,1,1,1,1,1,1,1,1,1,100,0
57640e4d-1b00-4fea-a68e-56f14985568e,“ECMO? For How Long?” ECMO Extends Life and Poses Challenging Ethics Questions,1,1,1,1,1,1,1,1,1,1,1,1,1,9,13
e1495ba6-b8a9-48e4-992f-93592bf4f0e5,Walking The Tightrope,1,1,,,,,,,,,,,,,
df81d06d-6d9b-4f35-a646-50366ba8ccc3,Mrs. Bartolini’s Medical Team Weighs Allocation of Scarce Resources and Non-Beneficial Treatment,4,4,3,5,6,4,6,3,2,4,4,6,2,97,72
4cfde056-677d-4a74-ae30-4fd3eb77ad39,How Do We Discharge Mr. Baylus? Challenging Discharge Plans,2,1,1,2,1,1,1,1,1,1,1,1,1,90,50
dc498f1a-e06f-489b-802d-4c6318b613c7,Casey’s Last Inning,4,3,3,2,4,3,3,4,4,1,2,3,3,80,20
c3b6daee-6f21-4aab-82a4-b56a4c8c33d0,Mr. Jay’s Case,5,5,5,5,5,5,5,5,5,5,5,3,5,82,40
6e6da89b-ee8c-4867-af12-4c46ea7e2a34,Our Pregnant Daughter Didn’t Want This.,5,5,5,5,5,5,5,5,5,5,5,5,5,100,94
6c542cba-8e40-41c6-ab42-50a30f09bd0c,"It’s Too Much – First My Daughter, and Now This",4,4,6,2,6,2,3,4,2,4,4,1,2,89,5
411b20a7-5364-463e-a52b-0496d9119df9,When is it ethical to override a patient’s medical wishes? Mr. Schumann’s Family Benefits from His Survival,4,6,1,1,1,1,1,6,1,2,1,6,6,100,70
3ab34a1a-34d2-4e0c-a506-7f113781ea49,Family Opposition to Organ Donation Despite First Person Consent,3,2,1,1,1,1,1,3,1,6,3,1,4,49,40
a73401b5-5c34-4518-9b2e-8266d2df7f1b,A Family Divided,1,1,1,1,1,1,1,1,1,2,1,1,1,50,90
b5f7c8a8-a923-4bac-ad74-655e02424ac6,My Patient’s Dying,5,5,6,6,6,6,6,5,6,6,6,4,4,30,60
6c542cba-8e40-41c6-ab42-50a30f09bd0c,"It’s Too Much – First My Daughter, and Now This",4,5,3,4,4,3,4,4,4,4,2,2,2,,
a951fc6b-38d2-4343-9092-c4089d9f05af,Alice’s Frail Mother,3,3,2,2,1,3,3,6,6,3,3,2,2,77,27
106c4134-4378-4902-925c-1f1466e11eb6,“I Don’t Trust It.” Vaccine Hesitancy During a Pandemic,4,4,3,2,5,2,4,3,3,5,4,5,5,12,33
ab682458-9bac-4a18-98c3-c91465e6bf47,Angela C – Maternal Fetal Issues,5,5,5,5,6,5,5,5,5,5,5,4,5,,
e1495ba6-b8a9-48e4-992f-93592bf4f0e5,Walking The Tightrope,4,4,4,3,4,3,3,3,3,3,3,2,4,91,32
c0fba7f0-45e3-4c34-9d08-c2cfb1a3e0ee,Distributive Justice: A Challenge for Clinical Ethics,5,5,6,6,6,6,6,6,6,6,5,6,6,82,50
