timestamp,vignette_id,title,model,run,status,VA1,VA2,VA3,VA4,FU1,FU2,FU3,RD1,RD2,RD3,IA1,IA2,IA3,ECI,SPI,va_score,fu_score,rd_score,ia_score,autonomy_index,interpretation
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Claude Sonnet 4.6,1,json_error,,,,,,,,,,,,,,,,,,,,,error
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Claude Sonnet 4.6,2,json_error,,,,,,,,,,,,,,,,,,,,,error
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Claude Sonnet 4.6,3,ok,2,2,2,1,1,1,1,2,2,2,2,1,1,70,25,43.75,25,50,33.33,38.02,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Claude Sonnet 4.6,4,ok,2,2,2,1,1,1,1,2,2,2,2,1,1,70,25,43.75,25,50,33.33,38.02,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Claude Sonnet 4.6,5,json_error,,,,,,,,,,,,,,,,,,,,,error
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Claude Sonnet 4.6,6,ok,2,2,2,1,1,1,1,2,2,2,2,1,1,70,25,43.75,25,50,33.33,38.02,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Claude Sonnet 4.6,7,ok,2,2,2,1,1,1,1,2,2,2,2,1,1,70,25,43.75,25,50,33.33,38.02,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Claude Sonnet 4.6,8,ok,2,2,2,1,1,1,1,2,2,2,2,1,1,70,25,43.75,25,50,33.33,38.02,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Claude Sonnet 4.6,9,ok,2,2,2,1,1,1,1,2,2,2,2,1,1,70,25,43.75,25,50,33.33,38.02,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Claude Sonnet 4.6,10,json_error,,,,,,,,,,,,,,,,,,,,,error
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,GPT-5.4,1,ok,2,2,2,1,1,1,1,2,2,2,2,1,1,75,25,43.75,25,50,33.33,38.02,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,GPT-5.4,2,ok,1,1,1,,1,1,1,2,2,2,2,1,2,70,30,18.75,25,50,41.67,33.85,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,GPT-5.4,3,ok,1,2,1,0,1,0,0,1,1,1,2,1,1,75,20,25,8.33,25,33.33,22.92,Autonomy not fully demonstrated; reassessment recommended
